Activity Name,Description,Type,Interest,State,Grade
"Intern Summer Justice Program – Law Office of the Public Defender","The Intern Summer Justice Program at the Law Office of the Public Defender offers a unique two-week internship for high school students interested in the justice system. This program, designed specifically for students aged 15 to 18 with a GPA of 2.0 or higher, provides an immersive experience into the workings of the criminal justice courts, law enforcement, crime lab, and medical examiner’s office. Participants will shadow attorneys, observe court proceedings, engage with legal professionals, and conclude with a mock trial. The program runs Monday through Friday, 9:00 am – 3:00 pm, for 10 consecutive business days and is open to students who have completed 9th grade in Broward County, Florida.","Free; Summer; Internship","Law","Florida","Freshmen; Juniors; Seniors; Sophomores"
"Congressional App Challenge","The Congressional App Challenge is a prestigious competition that encourages high school students to develop their coding skills by creating their own apps. It aims to connect today's Congress with tomorrow's coders, significantly increasing Congress' mentions of computer science and coding by 2,000%. The challenge is open to students from participating districts, offering them a platform to showcase their apps and potentially win awards. This initiative not only promotes STEM education but also aims to reach underserved, diverse, and rural student populations, making it an inclusive opportunity for students interested in computer science.","Free; Activity; Competition; Year Round","Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"DECA Inc. - Collegiate Program","DECA Inc. offers a collegiate program aimed at developing leadership skills in marketing, finance, hospitality, and management for college students. The program includes competitive events, corporate challenges, and educational conferences to help students prepare for their careers. DECA's collegiate program seeks to prepare emerging leaders and entrepreneurs for success in their future professional endeavors. It provides a platform for students to demonstrate their career knowledge, creativity, and gain insights into career and college paths. The program is available to college students across the United States and globally, offering a unique opportunity to enhance their business and leadership skills.","Free; Year Round; Activity; Competition","Business","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"The New York Times Student Contests","The New York Times offers a series of student contests as part of its Learning Network, providing a platform for students to engage creatively with current events and express themselves through various formats. These contests include challenges in writing, multimedia, and visual arts, catering to a wide range of interests. Open to students worldwide, these contests aim to foster creativity, critical thinking, and a deeper understanding of the world. Participants have the opportunity to have their work featured on The Learning Network and potentially in a special section of the print New York Times. The contests are designed to be accessible to students of all grade levels and encourage the development of a strong, authentic voice.","Free; Year Round; Competition","English Literature Writing; Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"National Youth Orchestra of the United States of America (NYO-USA)","The National Youth Orchestra of the United States of America (NYO-USA), organized by Carnegie Hall’s Weill Music Institute, is a prestigious summer program that gathers the brightest young musicians from across the country. This free program, following a comprehensive audition process, offers a multi-week training residency with leading professional orchestra musicians. Participants, aged 16–19, embark on a tour to some of the great music capitals of the world, serving as dynamic music ambassadors.","Free; Summer","Arts Performance","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"FIRST Robotics Competition","The FIRST Robotics Competition is a unique event that combines the excitement of sport with the rigors of science and technology. High school students, under strict rules and with limited resources, are challenged to build industrial-size robots to play a difficult field game in alliance with other teams. This competition not only involves the technical aspects of robot construction but also includes fundraising, team branding, and promoting STEM within the community. Participants have the opportunity to compete for awards and scholarships at local and regional events, culminating in a Championship. The program is designed to foster teamwork, innovation, and a deep appreciation for STEM fields.","Cost Money; Activity; Competition; Year Round","Mathematics; Physics; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Stanford Institutes of Medicine Summer Research Program (SIMR)","The Stanford Institutes of Medicine Summer Research Program (SIMR) is an eight-week summer program designed for high school juniors and seniors interested in exploring the field of biomedical research. Participants engage in hands-on research projects under the guidance of Stanford faculty, postdoctoral fellows, and researchers. The program aims to increase students' interest in biological sciences and medicine, and to provide an understanding of how scientific research is conducted. The program is open to U.S. citizens or permanent residents currently living and attending school in the U.S. A notable aspect is the program's preference for local (Bay Area) students, although all eligible students are encouraged to apply.","Free; Summer; Research","Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"PROMYS - Program in Mathematics for Young Scientists","PROMYS (Program in Mathematics for Young Scientists) is a 6-week summer program hosted at Boston University, designed for highly motivated high school students from the U.S. and around the world who have a strong interest in mathematics. The program focuses on deep exploratory mathematical learning, encouraging participants to tackle fundamental mathematical problems requiring creativity and perseverance. PROMYS offers a unique environment where learners are treated as mathematicians, fostering independence and innovative thinking. Generous need-based financial aid is available, ensuring no financial barriers to participation. The program also emphasizes the importance of a supportive mathematical community, making it an enriching experience for participants.","Cost Money; Summer","Mathematics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"The Anson L. Clark Scholars Program","The Anson L. Clark Scholars Program at Texas Tech University is a seven-week summer research program for highly qualified high school juniors and seniors. The program provides a hands-on practical research experience across various disciplines. There are no program fees, and it covers on-campus meals, room and board, and weekend activities. Scholars receive a $750 stipend upon successful completion of their research project. Eligibility requires applicants to be at least 17 years old by the start date, a U.S. Citizen or Permanent Resident, and be a rising junior or senior.","Free; Summer; Research","General","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
"FTE Economics for Leaders Advanced","FTE Economics for Leaders Advanced builds upon the foundational Economics for Leaders program, offering high-achieving students a more rigorous and in-depth exploration of economic theory, policy analysis, and leadership. Participants engage in complex simulations, advanced problem-solving exercises, and leadership case studies to refine their analytical and decision-making skills. This program is ideal for students seeking to challenge themselves academically while preparing for top-tier college programs and future careers in economics, finance, and public policy.","Activity; Program; Summer; Advanced","Economics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors"
